BusGroup,Feature,EventType,BinaryClass,Mean,Median,IQR,Minimum,Maximum,Count
Selected Bus 5,Delta I unbalance,SSO_SLG_Fault,Fault,0.7732253516995777,0.8056563448874299,0.2368715469007805,0.3159675532925058,1.0069872540992462,30
Selected Bus 5,Delta I unbalance,SSO_ThreePhase_Fault,Fault,0.045740726996915566,0.021828173242159903,0.052001839126844175,0.0030853498966051,0.2887957843316595,30
Selected Bus 5,Delta V unbalance,SSO_LoadSwitch,Non-fault,0.0032979925540025956,0.0033042963975049,2.839348293800191e-06,0.0032139321357655,0.0033060365161861,21
Selected Bus 5,Delta V unbalance,SSO_Normal,Non-fault,0.0174636990418444,0.0174636990418444,0.0,0.0174636990418444,0.0174636990418444,3
Selected Bus 5,Delta V unbalance,SSO_SLG_Fault,Fault,0.06801493230028074,0.0301393982450118,0.09881696412587544,0.0089973918619694,0.3618071982962867,30
Selected Bus 5,Delta V unbalance,SSO_ThreePhase_Fault,Fault,0.10461080359232958,0.0030526143914082,0.18056419796278644,0.0005943438448737,0.545526753032915,30
Selected Bus 5,Delta Z apparent,SSO_LoadSwitch,Non-fault,0.5622090042984395,0.3535317277087948,0.1599303743478409,0.253277964186319,3.490665759338879,21
Selected Bus 5,Delta Z apparent,SSO_Normal,Non-fault,0.5316117791225778,0.5316117791225778,0.0,0.5316117791225778,0.5316117791225778,3
Selected Bus 5,Delta Z apparent,SSO_SLG_Fault,Fault,5.249287189233455,5.547852680244279,1.449981329683463,2.1746020883252504,6.709847182843914,30
Selected Bus 5,Delta Z apparent,SSO_ThreePhase_Fault,Fault,7.760946654672592,6.461125169472386,1.3500172317374597,0.7907555605757803,48.57004760463224,30
Selected Bus 5,FaultScore,SSO_LoadSwitch,Non-fault,-0.39477119456454296,-0.4165740509600379,0.00981726738010541,-0.433901003236175,0.0243010293310598,21
Selected Bus 5,FaultScore,SSO_Normal,Non-fault,0.0037755732136939995,0.003775573213694,0.0,0.003775573213694,0.003775573213694,3
Selected Bus 5,FaultScore,SSO_SLG_Fault,Fault,0.7597544407002051,0.7736263252185087,0.2828955898847628,0.1946781827386443,1.0,30
Selected Bus 5,FaultScore,SSO_ThreePhase_Fault,Fault,0.8792573140932662,0.9356707381146069,0.08438426249095721,0.3581992462570808,1.0,30
Selected Bus 5,I RMS jump,SSO_LoadSwitch,Non-fault,0.003050697138519581,0.0011646220271987,0.0008947478764307,0.0005991321843113,0.0342630187686625,21
Selected Bus 5,I RMS jump,SSO_Normal,Non-fault,0.0016071732893490002,0.001607173289349,0.0,0.001607173289349,0.001607173289349,3
Selected Bus 5,I RMS jump,SSO_SLG_Fault,Fault,0.5043955194010256,0.2488653358326039,0.613814788703247,0.047908877235777,2.2861518203470363,30
Selected Bus 5,I RMS jump,SSO_ThreePhase_Fault,Fault,1.4896494573739525,0.29841791820555363,0.5617015901018061,0.0491034803211029,30.09608172123867,30
Selected Bus 5,I0 ratio,SSO_LoadSwitch,Non-fault,0.00019505909202154287,0.000196965338129,3.2792240386000026e-06,0.0001187912012568,0.0002131189124767,21
Selected Bus 5,I0 ratio,SSO_Normal,Non-fault,0.0001932249821782,0.0001932249821782,0.0,0.0001932249821782,0.0001932249821782,3
Selected Bus 5,I0 ratio,SSO_SLG_Fault,Fault,0.7590744808616096,0.7433218062469062,0.21379498345129133,0.4489442332978433,0.9542833689080588,30
Selected Bus 5,I0 ratio,SSO_ThreePhase_Fault,Fault,0.0726836723072512,0.07244554328042604,0.00622889192555999,0.0043695285210333,0.1757079025108756,30
